Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Year
Aus,Bandarban ,30180,17870,2000
Aus,Barisal ,357900,185360,2000
Aus,Bogra ,19730,13450,2000
Aus,Chittagong ,106640,86960,2000
Aus,Comilla ,266460,197330,2000
Aus,Dhaka ,117280,44170,2000
Aus,Dinajpur ,42040,30840,2000
Aus,Faridpur ,317710,132840,2000
Aus,Jamalpur ,65140,32470,2000
Aus,Jessore ,220870,152920,2000
Aus,Khagrachari ,3700,2830,2000
Aus,Khulna ,31390,20670,2000
Aus,Kishoregonj ,139750,95560,2000
Aus,Kushtia ,173320,106020,2000
Aus,Mymensingh ,186180,116570,2000
Aus,Noakhali ,219240,122050,2000
Aus,Pabna ,60460,22870,2000
Aus,Patuakhali ,253490,146690,2000
Aus,Rajshahi ,161010,99140,2000
Aus,Rangamati ,11430,7360,2000
Aus,Rangpur ,31700,13690,2000
Aus,Sylhet ,396940,245440,2000
Aus,Tangail ,62210,22500,2000
Aus,Bandarban ,23400,14020,2001
Aus,Barisal ,386160,210670,2001
Aus,Bogra ,18060,12120,2001
Aus,Chittagong ,113580,90730,2001
Aus,Comilla ,271060,199690,2001
Aus,Dhaka ,114850,48540,2001
Aus,Dinajpur ,28770,15510,2001
Aus,Faridpur ,335960,129700,2001
Aus,Jamalpur ,51960,28010,2001
Aus,Jessore ,170780,115200,2001
Aus,Khagrachari ,5200,3850,2001
Aus,Khulna ,32080,22490,2001
Aus,Kishoregonj ,102820,72310,2001
Aus,Kushtia ,152690,95370,2001
Aus,Mymensingh ,169220,114840,2001
Aus,Noakhali ,218990,129980,2001
Aus,Pabna ,62860,23710,2001
Aus,Patuakhali ,248180,138170,2001
Aus,Rajshahi ,144650,91240,2001
Aus,Rangamati ,11110,6680,2001
Aus,Rangpur ,24790,9980,2001
Aus,Sylhet ,323550,215120,2001
Aus,Tangail ,58830,19790,2001
Aus,Bandarban ,25990,15610,2002
Aus,Barisal ,374970,196350,2002
Aus,Bogra ,17940,12740,2002
Aus,Chittagong ,118190,99430,2002
Aus,Comilla ,248920,182030,2002
Aus,Dhaka ,108390,42490,2002
Aus,Dinajpur ,31960,26680,2002
Aus,Faridpur ,317070,127970,2002
Aus,Jamalpur ,46760,22930,2002
Aus,Jessore ,173240,127630,2002
Aus,Khagrachari ,5790,4640,2002
Aus,Khulna ,29720,20940,2002
Aus,Kishoregonj ,94900,69200,2002
Aus,Kushtia ,142430,86110,2002
Aus,Mymensingh ,168720,104440,2002
Aus,Noakhali ,224800,133980,2002
Aus,Pabna ,70520,29450,2002
Aus,Patuakhali ,253360,152210,2002
Aus,Rajshahi ,184020,118070,2002
Aus,Rangamati ,12680,7190,2002
Aus,Rangpur ,27330,17780,2002
Aus,Sylhet ,339500,219070,2002
Aus,Tangail ,56160,33760,2002
Aus,Bandarban ,25320,15170,2003
Aus,Barisal ,383740,201220,2003
Aus,Bogra ,17890,12060,2003
Aus,Chittagong ,126820,108360,2003
Aus,Comilla ,229040,165300,2003
Aus,Dhaka ,107500,46340,2003
Aus,Dinajpur ,27130,23780,2003
Aus,Faridpur ,327240,142180,2003
Aus,Jamalpur ,43050,20070,2003
Aus,Jessore ,165240,114240,2003
Aus,Khagrachari ,5870,6640,2003
Aus,Khulna ,29550,21210,2003
Aus,Kishoregonj ,89470,64380,2003
Aus,Kushtia ,130630,74560,2003
Aus,Mymensingh ,161460,112890,2003
Aus,Noakhali ,213550,123190,2003
Aus,Pabna ,71570,32280,2003
Aus,Patuakhali ,252060,157160,2003
Aus,Rajshahi ,185920,125120,2003
Aus,Rangamati ,11850,7860,2003
Aus,Rangpur ,20450,12040,2003
Aus,Sylhet ,291360,213460,2003
Aus,Tangail ,54990,32330,2003
Aus,Bandarban ,24560,13390,2004
Aus,Barisal ,380260,192580,2004
Aus,Bogra ,17120,11850,2004
Aus,Chittagong ,112250,100830,2004
Aus,Comilla ,207260,140460,2004
Aus,Dhaka ,57420,22780,2004
Aus,Dinajpur ,24980,19480,2004
